S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.36349	0.15422	2.3437e-002	0.	34252
0.36498	0.15571	2.337e-002	0.	12600
0.36646	0.15719	2.3299e-002	0.	-8970.7
0.36795	0.15867	2.3226e-002	0.	-30466
0.36943	0.16016	2.315e-002	0.	-51878
0.37092	0.16164	2.3071e-002	0.	-73201
0.3724	0.16312	2.2989e-002	0.	-94436
0.37389	0.16461	2.2905e-002	0.	-1.1558e+005
0.37537	0.16609	2.2819e-002	0.	-1.3663e+005
0.37686	0.16757	2.273e-002	0.	-1.5758e+005
0.37834	0.16905	2.2639e-002	0.	-1.7843e+005
0.37983	0.17054	2.2547e-002	0.	-1.9918e+005
0.38132	0.17202	2.2452e-002	0.	-2.1983e+005
0.3828	0.1735	2.2356e-002	0.	-2.4037e+005
0.38429	0.17498	2.2259e-002	0.	-2.6081e+005
0.38577	0.17646	2.2159e-002	0.	-2.8113e+005
0.38726	0.17795	2.2059e-002	0.	-3.0135e+005
0.38874	0.17943	2.1957e-002	0.	-3.2145e+005
0.39023	0.18091	2.1854e-002	0.	-3.4144e+005
0.39171	0.18239	2.1749e-002	0.	-3.6132e+005
0.3932	0.18387	2.1644e-002	0.	-3.8108e+005
0.39468	0.18535	2.1537e-002	0.	-4.0072e+005
0.39617	0.18684	2.1429e-002	0.	-4.2024e+005
0.39765	0.18832	2.1319e-002	0.	-4.3964e+005
0.39914	0.1898	2.1209e-002	0.	-4.5892e+005
0.40062	0.19128	2.1097e-002	0.	-4.7806e+005
0.40211	0.19276	2.0984e-002	0.	-4.9709e+005
0.40359	0.19424	2.087e-002	0.	-5.1599e+005
0.40508	0.19572	2.0754e-002	0.	-5.3474e+005
0.40657	0.1972	2.0636e-002	0.	-5.534e+005
0.40805	0.19868	2.0518e-002	0.	-5.7178e+005
0.40954	0.20016	2.0397e-002	0.	-2.914e+005
0.41103	0.20165	2.0275e-002	0.	3.3307e+005
